id,name,unique_name,other_name,gender,room_and_board,home_town,home_state,home_country,born,died,other_education,admitted_to_bar,training_with_other_lawyers,federal_committees,state_committees,biographical_notes,citation_of_attendance,image_id,secondary_sources,additional_notes,private_notes,benevolent_and_charitable_organizations,quotes,political_parties,professions,residences,government_posts,marriages,LLS,LFA,materials,relations
7743,Thomas O'Hara Croswell,,,M,,,,,1767,"January 16, 1844",,,,,,"Thomas O'Hara Croswell was born in 1767. He came to Litchfield, Connecticut when he was young a lived as a 'half servant' in the home of Tapping Reeve. He attended local schools and at the age of 19 he went to live with Dr. Reuben Smith, who lived across the street from the Pierce family, to study apothecary. He later studied with Dr. Daniel Sheldon. He moved to Catskill, NY then returned in 1790 to be Dr. Smith's partner. On July 18, 1791 he married Ruth Pierce, older sister of Sarah Pierce, and the following year they moved to Catskill, NY. They had one adopted daughter. He died January 16, 1844.",,Thomas O'Hara Croswell.jpg,,,,,,,Doctor,Catskill/NY/USA,,,,,Thomas O'Hara Croswell,
7744,Charles Hopkins,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7745,Louisa Hopkins Cooke,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7746,Henry Hopkins,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7747,Francis Hopkins,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7748,James Hopkins,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7749,Frederick Hopkins,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7750,Jane Vernon Hopkins,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7751,Josephine Hopkins,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7752,Mary of Anna Bard,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7753,Ann Bard Pierce,,Ann Bard,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7754,Dr. John Bard,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7757,Betsy Doane Brace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7758,Mary Ford Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7759,Mary Augusta Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7760,Catherine Illinois Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7761,Ruth Woodhull Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7762,Eliza Cruger Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7763,Selah Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7764,Sarah Ann Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7765,Daniel Cruger Strong,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7766,Annah Clement Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7767,Lydia Shepherd Strong,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7768,Walter Baker Jr.,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7769,Florence Baker,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7771,Mary Kane Gibbs,,,F,,,,,1800,1873,,,,,,,,,,,,,,,,,,,,,,
7772,William Peter,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7773,Sarah Worthington King,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7774,Maria Hallett,,,F,,,,,"February 19, 1776",,,,,,,,,,,,,,,,,,,,,,,
7775,Levi Lepeon,,,M,,Morris,CT,USA,1801,"February 5, 1867",,,,,,"Levi Lepeon was a free African American, born in this country to 'native born parents' in 1801. At the age of five he was bound out to Mr. Lyman of Goshen, and afterward to Col. Benjamin Tallmadge of Litchfield and after that Ozias Seymour. About 1843 he moved to New Haven, followed by stays in Bridgeport, CT and Springfield, MA. After 12 years away he returned to Litchfield where he was employed taking care of the offices of several lawyers, including Tapping Reeve and James Gould. He cleaned clothes, blackened boots, made fires and performed other chore. He was familiar to students of the Litchfield Law School. He died February 5, 1867.",,,,"Taken from his obituary, 'The Litchfield Enquirer,' February 14, 1867.",,,,,,Goshen/CT/USA;Litchfield/CT/USA;New Haven/CT/USA;Bridgeport/CT/USA;Springfield/MA/USA,,,,,,
7776,James Christie Palmer Esten,,,M,,"St. George, Bermuda",,,"November 7, 1805","October 24, 1864",,,,,,"James Christie Palmer Esten was a lawyer and judge born November 7, 1805 at St. George, Bermuda, the son of James Christie Esten, chief justice of Bermuda and Ester Palmer.  In 1832 he married Ann Frederica Hutchinson in Exeter, England and had several children.  He died October 24, 1864 in Toronto, Canada.",,,,,,,,,,Toronto//Canada,,Ann Frederica Hutchinson/1832,,,,
7777,Ann Frederica Hutchinson,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7778,Thomas Whitney Waterman,,,M,,Binghamton,NY,USA,"June 28, 1821",,,,,,,"Thomas Whitney Waterman was the son of Thomas Glasby Waterman and was born in 1821 in Binghamton, NY.  He entered Yale in 1838, but did not graduate.  He traveled to Europe, studied law and was admitted to the bar in New York in 1848.  Until 1870 he practiced law in New York City and then removed to Binghamton.He edited many law books.",,,,,,,,,,New York/NY/USA;Binghamton/NY/USA,,,,,,
7779,Marcus Tully Voorhees,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7780,James Leslie Voorhees,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7781,Stephen Reynolds Voorhees,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7782,George Maxwell Voorhees,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7783,Charlotte Lowe Tod,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7784,Jonathan Ingersoll Tod,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7785,Mary Isaacs Tod,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7786,Julia Ann Tod,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7787,Grace Ingersoll Tod,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7788,"George Tod, Jr.",,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7789,Maria Mann (Hext) Bailey,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7790,William Grimes,,,M,,King George County,VA,USA,1784,August 1865,,,,,,"William Grimes was the son of Benjamin Grymes, a wealthy plantation owner in King George County, Virginia and a female slave owned by his neighbor, Dr. Steward. Grimes was owned by ten different masters in Virginia, Maryland and Georgia.     In 1814 he escaped by stowing away on a ship bound for New York. From there he made his way to Connecticut, settling in New Haven and later Litchfield, working in both locations as a barber to the local students.IN 1817 he married Clarissa Caesar with whom he had 18 children, 12 surviving to adulthood. He lost all his property and money when he was discovered by his former master and forced to purchase his freedome or return to slavery. During his legal case he was assisted by students from the Litchfield Law School.     In 1825 he wrote his autobiography, <I>The Life of William Grimes</I>. It was the first book-length autobiography by a fugitive American slave.    William Grimes died in August 1865.",,Wm Grimes.jpg,,,,,,,Other,/MD/USA;/GA/USA;New Haven/CT/USA;Litchfield/CT/USA,,Clarissa Caesar/1817,,,"Abel Catlin Letter, 1823, LHS;William Grimes",
7791,Clarissa Caesar,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7792,Eliza Tyler,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793,John Hooker,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7794,Catherine Esther Beecher,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7795,James Mark Prevost,,,M,,,,,1736,1781,,,,,,James Mark Prevost was an officer of the British army who married Theodosia Bartow in 1763. He died in service in Jamaica in 1781.,,,,,,,,,Military,Ho Ho Kus/NJ/United States,,,,,,
7796,"Miles Dunbar, Sr.",,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7797,Robert Sterret,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,James Brooks,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7799,Elizabeth Woods Brooks,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7800,Elizabeth Hunter Oliver,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7801,Cynthia Trowbridge Dunbar,,Cynthia Trowbridge,F,,,,,,,,,,,,"Cynthia Trowbridge Dunbar was the wife of Miles Dunbar, a 1809 graduate of Tapping Reeve's Litchfield Law School. On February 12, 1810 the couple were married and resided in Sharon, CT where Miles worked as a lawyer and music teacher. In 1812 they moved to Pine Plains, NY where their first child, Matthew, was born on May 25, 1812.",,,,,,,,,,Sharon/CT/United States;Pine Plains/NY/United States,,,,,,
7802,Camille de Feriet Lewis,,,F,,New Orleans,LA,USA,"June 17, 1806","November 11, 1833",,,,,,,,,,,,,,,,,,,,,,
7803,Abram Perlee,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7804,Daniel Frye,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7805,Hubbell,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7806,Theron Rudd,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7807,Charles Phelps,,,M,,Staten Island,NY,USA,,,,,,,,,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7808,Theron Rudd Butler,,,M,,,,,"March 9, 1813","January 19, 1884",,,,,,"Moved west to Ohio as a young man, where he married Mary Beach. Worked for many years in the wholesale dry goods business. After Mary's death, married Maria E. Miller (1827-1910) on 1 June 1848.",,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7809,Catharine Butler,,,F,,,,,,,,,,,,Married Rev. Selden Haynes.,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7810,Eliza Butler,,,F,,,,,,before 1895,,,,,,"Married Hiram Veltman of Brooklyn and had three children: William, Christopher, and Julia.",,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7811,Isaac Butler,,,M,,,,,,,,,,,,,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7812,George Butler,,,M,,,,,,,,,,,,died in his youth.,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7813,Frances Ann Devereux Polk,,,F,,,,,,,,,,,,"Frances married her childhood friend Leonidas Polk in 830. Leonidas studied at the Raleigh Academy, UNC Chapel Hill, West Point, and the Virginia Theological Seminary. After he was ordained in Richmond in 1830, the couple settled there. In 1841, when Leonidas was named Bishop of Louisiana, the family relocated to Leighton, Bayou Fourche where they owned a large sugar plantation and taught their slaves Sunday School. They had eight children together. Leonidas found a conflict of morals between his duties as a Planter and Bishop, yet entered the Confederate army at the start of the Civil War and was killed in action at Pine Mountain, GA in June 1864.    With no financial support after her husband's death, Frances resorted to teaching. After teaching English Literature at the Columbia Institute, in New Orleans she later established a school of her own.",,,,,,,,,,Richmond/VA/;Leighton/LA/,,,,,"John Devereux Papers, 1712 - 1892;Plantation Sketches",
7814,Catherine Ann Devereux Edmondston,,Kate Edmondston,F,,,,,"October 10, 1823","January 3, 1875",,,,,,"Kate was the daughter of Thomas Pollock Devereux and his first wife Catherine Ann Johnson; she was known for her Civil War era diary, covering the years 1860-1866, later published as the 'Journal of a Secesh Lady.'     In Feb 1846, Kate married Patrick Muir Edmondston of Charleston, SC at her father's Conneconara plantation. The couple lived in Charleston before permanently moving to NC. Catherine's father gave the newlyweds two plantations adjoining his own, known as Looking Glass and Hascosea as part of a $10,000 marriage settlement. By the 1860 census the couple had a wealthy estate with almost 2000 acres.     Catherine's husband Patrick was active in County affairs, serving as County Justice of the Peace, Vice President of the Scotland Neck Agricultural Society, and organizer of the Scotland Neck Mounted Riflemen. In addition, he was an active member of the Home Guard, organizing defense construction along the Roanoke River. He died in Aug 1871.    In 1872, Kate anonymously published a 40 page pamphlet, 'The Morte d'Arthur; Its Influence on the Spirit and Manners of the Nineteenth century.' With the family estates suffering great recourse from the War, Kate denounced the Freedman's Bureau and 'extolled Confederate Chivalry' throughout. She died three years later in Raleigh, likely of consumption.",,catherine devereux edmondston.jpg,"'Introduction.' Journal of a Secesh Lady: The Diary of Catharine Ann Devereux Edmondston. Ed. Beth G. Crabtree and James W. Patton. 3rd ed. Raleigh: North Carolina Division of Archives and History, 1995. Xi-Xxxvii. Print.",,,,,,,Charleston/SC/,,,,,"John Devereux Papers, 1712 - 1892;Plantation Sketches;Photograph Of Catherine Ann Devereux Edmondston",
7815,Charles Butler,Charles Butler 2,,M,,Litchfield,CT,,,,,,,,,Died in his youth.,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7816,William Butler,William Butler (b. 1795),,M,,Litchfield,CT,USA,"June 18, 1795",,,,,,,married Alice M. Morris.,,,"Butler, Henry L. <A Href='http://books.google.com/books?id=jpAZAQAAMAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false'> Tales of Our Kinsfolk, Past and Present: The Story of Our Butler Ancestors. </a> Madison: University of Wisconsin, 1919. Google Books. Google, 10 Jan. 2011. Web. 13 Aug. 2013.",,,,,,,,,,,,,
7820,Susannah Wyllys,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7821,George Read,George Read (1765-1836),"George Read, Jr. ",M,,New Castle,DE,,1765,1836,,Admitted to the Delaware Bar Association in 1785,Studied under father George Read Sr.,,,"George Read, Jr. was born the oldest son to the signer of the Declaration of Independence and U.S. Constitution, George Read Sr. He studied law with his father before serving as a U.S. District Attorney for Delaware from 1789-1836. In 1797, George Read Jr. began construction on a family residence adjacent to his father’s home on the Strand in New Castle, DE, which would be the largest home in Delaware at the time of its completion. The mansion, constructed in the Philadelphian Federal Style, had no expense spared throughout its 14,000 square feet, and was noted for its luxuries and elements of technologically innovative design. The Read family began residence in 1803, and here George lived until his death in 1836.",,,,,,,,,,,,,,,Read Family Papers,
7822,Alanson Abbe,,,M,,Enfield,CT,,"January 17, 1795","April 14, 1864","Phillips Academy, Andover, MA  Yale Department of Medicine, 1821",,,,,"Alanson Abbe was educated at Phillips Academy in Andover, MA, and later graduated from the Yale Medical Department in 1821. He took up the study of medicine under Dr. Thompson of Tolland, CT. Alanson was a prominent physician in Litchfield, specializing in the treatment of spinal and orthopedic issues. While living in LItchfield, he used his home on South Street as a hospital for a decade before moving to Boston in 1839 where he continued his practice. He died there in 1864 of complications from a 'brain disease' involving paralysis. His home in Litchfield still stands as a prominent example of Greek Revival architecture in the area.    ",,,"<A Href='http://historicbuildingsct.com/?p=4597'> Historic Buildings of Connecticut: The Alanson Abbe House </a>    <A Href='http://www.archive.org/stream/abbeabbeygenealo00abbe/abbeabbeygenealo00abbe_djvu.txt'> Abbe, Cleveland and Nichols, Josephine. Abbe-Abbey Genealogy, in Memory of John Abbe and his Descendants. New Haven: The Tuttle, Morehouse & Taylor Company, 1916. </a>",,"Phillips Academy citation:  Catalogue of the trustees, instructors and students of Phillips Academy, Andover, August, 1817. [Andover, Mass. : Printed by Flagg & Gould, 1817]",,,,Doctor,Litchfield/CT/United States;Worcester/MA/United States;Roxbury/MA/United States;Boston/MA/,,,,,,
